Level 2;English Keywords
advertising & marketing;Materials, displays, and promotional tools used to market products, services, or brand awareness.
agriculture;Machinery, tools, seeds, and supplies dedicated to farming, crop cultivation, and livestock management.
arcade equipment;Coin-operated entertainment machines, pinball tables, and classic video game cabinets found in amusement centers.
athletics;Gear, apparel, and equipment specifically designed for track and field sports and competitive physical activities.
audio;Devices and equipment used for recording, broadcasting, amplifying, and listening to sound and music.
automation control components;Industrial electronic parts, sensors, and relays used to control and monitor automated machinery and processes.
baby & toddler furniture;Specially designed cribs, changing tables, and small-scale furniture tailored for infants and young children.
baby bathing;Tubs, gentle soaps, and accessories designed specifically for safely washing and grooming infants.
baby gift sets;Bundled packages of infant clothing, toys, or care items intended as presents for newborns and baby showers.
baby health;Medical supplies, thermometers, and wellness products specifically formulated for the safe care of infants.
baby safety;Monitors, gates, locks, and protective guards designed to childproof environments and keep infants secure.
baby toys & activity equipment;Playmats, rattles, bouncers, and interactive items designed to stimulate and entertain infants and toddlers.
baby transport;Strollers, car seats, and carriers used for safely moving and traveling with infants and young children.
baby transport accessories;Add-ons like stroller rain covers, cup holders, and car seat bases that enhance infant travel gear.
backpacks;Bags carried on the back with dual shoulder straps, used for school, hiking, or everyday commuting.
bathroom accessories;Decorative and functional items like soap dispensers, towel racks, and shower curtains used in washrooms.
beds & accessories;Mattresses, bed frames, headboards, and structural components used for sleeping and bedroom furnishing.
benches;Long seats typically without a backrest, designed for multiple people to sit on in parks, dining rooms, or entryways.
beverages;Drinkable liquids including water, juices, sodas, and alcoholic drinks meant for human consumption.
book accessories;Items like bookmarks, reading lights, and bookends designed to enhance the reading and book storage experience.
books;Bound printed or digital literary works, including novels, textbooks, manuals, and encyclopedias.
briefcases;Flat, rectangular bags typically used by professionals for securely carrying laptops and business documents.
building consumables;Expendable construction materials such as nails, adhesives, sealants, and tape used up during building projects.
building materials;Essential structural supplies like lumber, bricks, cement, and roofing used in the construction of buildings.
business & home security;Surveillance cameras, alarms, and protective systems designed to prevent theft and monitor properties.
cabinets & storage;Furniture pieces with shelves or drawers, such as dressers and bookcases, used for organizing and hiding items.
camera & optic accessories;Lenses, tripods, filters, and carrying bags that complement and enhance photographic and viewing equipment.
cameras;Optical devices used to capture and record still photographs or moving video images.
carpentry & woodworking project plans;Blueprints, instructional guides, and schematics detailing how to build wooden furniture and structures.
carts & islands;Mobile storage units and freestanding kitchen counters on wheels used for serving and food preparation.
chair accessories;Cushions, slipcovers, and replacement casters designed to improve the comfort or appearance of seating.
chairs;Individual pieces of furniture designed for one person to sit on, featuring a seat, backrest, and legs.
circuit boards & components;Printed wiring boards and individual electronic parts like resistors and microchips used to build electronics.
clothing;Garments such as shirts, pants, and dresses worn on the human body for protection and fashion.
clothing accessories;Items worn to complement apparel, including hats, belts, scarves, gloves, and ties.
communications;Telephones, radios, and networking devices used to transmit voice, data, and information over distances.
components;Internal hardware parts like processors, graphics cards, and hard drives used to build or upgrade computers.
computer software;Digital programs, operating systems, and applications installed on devices to perform specific tasks.
computers;Electronic devices including laptops, desktops, and servers used for processing data and accessing the internet.
construction;Heavy-duty tools, scaffolding, and machinery specifically required for building infrastructure and architecture.
cosmetic & toiletry bags;Small zippered pouches used to organize and transport makeup, skincare, and personal hygiene items.
costumes & accessories;Disguises, theatrical outfits, masks, and props worn for Halloween, cosplay, and festive roleplay.
decor;Ornamental items like vases, rugs, wall art, and clocks used to enhance the aesthetic appeal of a living space.
dentistry;Specialized medical instruments, chairs, and supplies used by oral healthcare professionals to treat teeth and gums.
