1	animals & pet supplies
1 > 3237	animals & pet supplies > live animals
1 > 2	animals & pet supplies > pet supplies
1 > 2 > 3	animals & pet supplies > pet supplies > bird supplies
1 > 2 > 3 > 7385	animals & pet supplies > pet supplies > bird supplies > bird cage accessories
1 > 2 > 3 > 7385 > 499954	animals & pet supplies > pet supplies > bird supplies > bird cage accessories > bird cage bird baths
1 > 2 > 3 > 7385 > 7386	animals & pet supplies > pet supplies > bird supplies > bird cage accessories > bird cage food & water dishes
1 > 2 > 3 > 4989	animals & pet supplies > pet supplies > bird supplies > bird cages & stands
1 > 2 > 3 > 4990	animals & pet supplies > pet supplies > bird supplies > bird food
1 > 2 > 3 > 7398	animals & pet supplies > pet supplies > bird supplies > bird gyms & playstands
1 > 2 > 3 > 4991	animals & pet supplies > pet supplies > bird supplies > bird ladders & perches
1 > 2 > 3 > 4992	animals & pet supplies > pet supplies > bird supplies > bird toys
1 > 2 > 3 > 4993	animals & pet supplies > pet supplies > bird supplies > bird treats
1 > 2 > 4	animals & pet supplies > pet supplies > cat supplies
1 > 2 > 4 > 5082	animals & pet supplies > pet supplies > cat supplies > cat apparel
1 > 2 > 4 > 4433	animals & pet supplies > pet supplies > cat supplies > cat beds
1 > 2 > 4 > 3367	animals & pet supplies > pet supplies > cat supplies > cat food
1 > 2 > 4 > 4997	animals & pet supplies > pet supplies > cat supplies > cat furniture
1 > 2 > 4 > 500059	animals & pet supplies > pet supplies > cat supplies > cat furniture accessories
1 > 2 > 4 > 4999	animals & pet supplies > pet supplies > cat supplies > cat litter
1 > 2 > 4 > 8069	animals & pet supplies > pet supplies > cat supplies > cat litter box liners
1 > 2 > 4 > 7142	animals & pet supplies > pet supplies > cat supplies > cat litter box mats
1 > 2 > 4 > 5000	animals & pet supplies > pet supplies > cat supplies > cat litter boxes
1 > 2 > 4 > 5001	animals & pet supplies > pet supplies > cat supplies > cat toys
1 > 2 > 4 > 5002	animals & pet supplies > pet supplies > cat supplies > cat treats
1 > 2 > 5	animals & pet supplies > pet supplies > dog supplies
1 > 2 > 5 > 5004	animals & pet supplies > pet supplies > dog supplies > dog apparel
1 > 2 > 5 > 4434	animals & pet supplies > pet supplies > dog supplies > dog beds
1 > 2 > 5 > 7372	animals & pet supplies > pet supplies > dog supplies > dog diaper pads & liners
1 > 2 > 5 > 499900	animals & pet supplies > pet supplies > dog supplies > dog diapers
1 > 2 > 5 > 3530	animals & pet supplies > pet supplies > dog supplies > dog food
1 > 2 > 5 > 5094	animals & pet supplies > pet supplies > dog supplies > dog houses
1 > 2 > 5 > 7428	animals & pet supplies > pet supplies > dog supplies > dog kennel & run accessories
1 > 2 > 5 > 7274	animals & pet supplies > pet supplies > dog supplies > dog kennels & runs
1 > 2 > 5 > 5010	animals & pet supplies > pet supplies > dog supplies > dog toys
1 > 2 > 5 > 8123	animals & pet supplies > pet supplies > dog supplies > dog treadmills
1 > 2 > 5 > 5011	animals & pet supplies > pet supplies > dog supplies > dog treats
1 > 2 > 6	animals & pet supplies > pet supplies > fish supplies
1 > 2 > 6 > 505303	animals & pet supplies > pet supplies > fish supplies > aquarium & pond tubing
1 > 2 > 6 > 505307	animals & pet supplies > pet supplies > fish supplies > aquarium air stones & diffusers
1 > 2 > 6 > 500038	animals & pet supplies > pet supplies > fish supplies > aquarium cleaning supplies
1 > 2 > 6 > 5019	animals & pet supplies > pet supplies > fish supplies > aquarium decor
1 > 2 > 6 > 5020	animals & pet supplies > pet supplies > fish supplies > aquarium filters
1 > 2 > 6 > 505306	animals & pet supplies > pet supplies > fish supplies > aquarium fish nets
1 > 2 > 6 > 5021	animals & pet supplies > pet supplies > fish supplies > aquarium gravel & substrates
1 > 2 > 6 > 5079	animals & pet supplies > pet supplies > fish supplies > aquarium lighting
1 > 2 > 6 > 6951	animals & pet supplies > pet supplies > fish supplies > aquarium overflow boxes
1 > 2 > 6 > 5023	animals & pet supplies > pet supplies > fish supplies > aquarium stands
1 > 2 > 6 > 500062	animals & pet supplies > pet supplies > fish supplies > aquarium temperature controllers
1 > 2 > 6 > 5161	animals & pet supplies > pet supplies > fish supplies > aquarium water treatments
1 > 2 > 6 > 3238	animals & pet supplies > pet supplies > fish supplies > aquariums
1 > 2 > 6 > 6085	animals & pet supplies > pet supplies > fish supplies > aquatic plant fertilizers
1 > 2 > 6 > 6403	animals & pet supplies > pet supplies > fish supplies > fish feeders
1 > 2 > 6 > 5024	animals & pet supplies > pet supplies > fish supplies > fish food
1 > 2 > 6983	animals & pet supplies > pet supplies > pet agility equipment
1 > 2 > 6811	animals & pet supplies > pet supplies > pet apparel hangers
1 > 2 > 500084	animals & pet supplies > pet supplies > pet bed accessories
1 > 2 > 5092	animals & pet supplies > pet supplies > pet bells & charms
1 > 2 > 6978	animals & pet supplies > pet supplies > pet biometric monitors
1 > 2 > 6978 > 6980	animals & pet supplies > pet supplies > pet biometric monitors > pet glucose meters
1 > 2 > 6978 > 6982	animals & pet supplies > pet supplies > pet biometric monitors > pet pedometers
1 > 2 > 6978 > 6981	animals & pet supplies > pet supplies > pet biometric monitors > pet thermometers
1 > 2 > 7143	animals & pet supplies > pet supplies > pet bowl mats
1 > 2 > 8513	animals & pet supplies > pet supplies > pet bowl stands
1 > 2 > 6252	animals & pet supplies > pet supplies > pet bowls, feeders & waterers
